offer_id,region_id,ingredient_id,price_total,pack_size,unit_base,valid_from,valid_to,source,source_ref_id,chain_id
O001,R001,I077,12.49,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O002,R001,I221,19.96,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O003,R001,I002,5.16,,l,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O004,R001,I052,11.98,,l,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O005,R001,I144,15.9,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O006,R001,I145,8.9,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O007,R001,I081,0.59,,st,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O008,R001,I049,5.9,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O009,R001,I128,1.11,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O010,R001,I054,18.32,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O011,R001,I114,6.36,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O012,R001,I104,2.38,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O013,R001,I030,1.11,,l,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O014,R001,I018,2.39,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O015,R001,I232,2.12,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O016,R001,I226,2.78,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O017,R001,I051,2.78,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O018,R001,I041,2.83,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O019,R001,I007,4.42,,kg,2025-12-07,2025-12-13,REWE Prospekt KW50,,C01
O020,R001,I089,0.54,,kg,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O021,R001,I030,0.99,,l,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O022,R001,I226,1.32,,kg,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O023,R001,I051,1.32,,kg,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O024,R001,I026,0.79,,kg,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O025,R001,I020,10.98,,kg,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O026,R001,I095,9.94,,kg,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O027,R001,I114,5.96,,kg,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O028,R001,I221,30.98,,kg,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O029,R001,I094,2.52,,kg,2025-12-04,2025-12-10,Kaufland Prospekt KW49,,C05
O030,R001,I185,4.13,,kg,2025-12-07,2025-12-10,Kaufland Prospekt KW49,,C05
O031,R001,I081,0.49,,st,2025-12-07,2025-12-10,Kaufland Prospekt KW49,,C05
O032,R001,I232,1.99,,kg,2025-12-07,2025-12-10,Kaufland Prospekt KW49,,C05
O033,R001,I145,9.9,,kg,2025-12-07,2025-12-10,Kaufland Prospekt KW49,,C05
O034,R001,I143,1.79,,kg,2025-12-07,2025-12-10,Kaufland Prospekt KW49,,C05
O035,R001,I077,9.9,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O036,R001,I095,9.93,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O037,R001,I089,0.4,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O038,R001,I045,1.76,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O039,R001,I144,15.9,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O040,R001,I114,5.96,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O041,R001,I007,4.97,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O042,R001,I226,2.58,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O043,R001,I051,2.58,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O044,R001,I094,1.99,,kg,2025-12-07,2025-12-13,Edeka Prospekt KW50,,C06
O045,R001,I145,9.9,,kg,2025-12-07,2025-12-13,Marktkauf Prospekt KW50,,C13
O046,R001,I154,1.94,,kg,2025-12-07,2025-12-13,Marktkauf Prospekt KW50,,C13
O047,R001,I007,4.14,,kg,2025-12-11,2025-12-13,Marktkauf Prospekt KW50,,C13
O048,R001,I094,1.99,,kg,2025-12-07,2025-12-13,NP Prospekt KW50,,C12
O049,R001,I144,15.9,,kg,2025-12-07,2025-12-13,NP Prospekt KW50,,C12
O050,R001,I114,5.96,,kg,2025-12-07,2025-12-13,NP Prospekt KW50,,C12
O051,R001,I007,4.97,,kg,2025-12-07,2025-12-13,NP Prospekt KW50,,C12
O052,R001,I094,1.99,,kg,2025-12-07,2025-12-13,nah und gut Prospekt KW50,,C09
O053,R001,I144,15.9,,kg,2025-12-07,2025-12-13,nah und gut Prospekt KW50,,C09
O054,R001,I114,5.96,,kg,2025-12-07,2025-12-13,nah und gut Prospekt KW50,,C09
O055,R001,I007,4.97,,kg,2025-12-07,2025-12-13,nah und gut Prospekt KW50,,C09
O056,R001,I114,5.96,,kg,2025-12-07,2025-12-13,E Center Prospekt KW50,,C07
O057,R001,I089,0.6,,kg,2025-12-07,2025-12-13,E Center Prospekt KW50,,C07
O058,R001,I212,1.49,,kg,2025-12-07,2025-12-13,E Center Prospekt KW50,,C07
O059,R001,I094,1.99,,kg,2025-12-07,2025-12-13,E Center Prospekt KW50,,C07
O060,R001,I144,15.9,,kg,2025-12-07,2025-12-13,E Center Prospekt KW50,,C07
O061,R001,I095,9.93,,kg,2025-12-07,2025-12-13,E Center Prospekt KW50,,C07
O062,R001,I007,4.97,,kg,2025-12-07,2025-12-13,E Center Prospekt KW50,,C07
O063,R001,I023,0.5,,kg,2025-12-07,2025-12-13,Penny Prospekt KW50,,C10
O064,R001,I020,9.99,,kg,2025-12-07,2025-12-13,Penny Prospekt KW50,,C10
O065,R001,I114,5.96,,kg,2025-12-07,2025-12-13,Penny Prospekt KW50,,C10
O066,R001,I030,1.11,,l,2025-12-07,2025-12-13,Penny Prospekt KW50,,C10
O067,R001,I094,1.98,,kg,2025-12-07,2025-12-13,Penny Prospekt KW50,,C10
O068,R001,I226,1.89,,kg,2025-12-07,2025-12-13,Penny Prospekt KW50,,C10
O069,R001,I051,1.89,,kg,2025-12-07,2025-12-13,Penny Prospekt KW50,,C10
O070,R001,I041,2.83,,kg,2025-12-07,2025-12-13,Penny Prospekt KW50,,C10
O071,R001,I144,14.21,,kg,2025-12-07,2025-12-13,Lidl Prospekt KW50,,C02
O072,R001,I018,3.98,,kg,2025-12-07,2025-12-13,Lidl Prospekt KW50,,C02
O073,R001,I221,14.99,,kg,2025-12-07,2025-12-13,Lidl Prospekt KW50,,C02
O074,R001,I114,6.36,,kg,2025-12-12,2025-12-13,Lidl Prospekt KW50,,C02
O075,R001,I226,1.32,,kg,2025-12-12,2025-12-13,Lidl Prospekt KW50,,C02
O076,R001,I051,1.32,,kg,2025-12-12,2025-12-13,Lidl Prospekt KW50,,C02
O077,R001,I143,1.98,,kg,2025-12-07,2025-12-13,Aldi Nord Prospekt KW50,,C03
O078,R001,I020,11.86,,kg,2025-12-07,2025-12-13,Aldi Nord Prospekt KW50,,C03
O079,R001,I077,8.29,,kg,2025-12-07,2025-12-13,Aldi Nord Prospekt KW50,,C03
O080,R001,I221,14.99,,kg,2025-12-07,2025-12-13,Aldi Nord Prospekt KW50,,C03
O081,R001,I114,7.16,,kg,2025-12-07,2025-12-13,Aldi Nord Prospekt KW50,,C03
O082,R001,I030,0.99,,l,2025-12-07,2025-12-13,Aldi Nord Prospekt KW50,,C03
O083,R001,I114,5.96,,kg,2025-12-07,2025-12-13,Netto Prospekt KW50,,C11
O084,R001,I226,3.58,,kg,2025-12-07,2025-12-13,Netto Prospekt KW50,,C11
O085,R001,I026,1,,kg,2025-12-07,2025-12-13,Netto Prospekt KW50,,C11
O086,R001,I157,4.23,,kg,2025-12-07,2025-12-13,Netto Prospekt KW50,,C11
O087,R001,I020,10.98,,kg,2025-12-07,2025-12-13,Netto Prospekt KW50,,C11
O088,R001,I122,1.11,,st,2025-12-11,2025-12-13,Netto Prospekt KW50,,C11
O089,R001,I066,1.69,,kg,2025-12-11,2025-12-13,Netto Prospekt KW50,,C11
O090,R001,I149,1.69,,st,2025-12-11,2025-12-13,Netto Prospekt KW50,,C11
O091,R001,I221,17.98,,kg,2025-12-11,2025-12-13,Netto Prospekt KW50,,C11
O092,R001,I143,1.49,,kg,2025-12-13,2025-12-13,Netto Prospekt KW50,,C11
